Player,Rk,G,Date,Age,Tm,Column1,OPP,2,GS,MP,FG,FGAVG,FGA,FGAAVG,FG%,FG%AVG,3P,3PAVG,3PA,3PAAVG,3P%,3P%AVG,FT,FTAVG,FTA,FTAAVG,FT%,FT%AVG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Bucket
Jokic,11,11,11/14/2023,28-268,DEN,,LAC,W (+3),1,35:45,8,13.5,23,25.5,0.348,0.53,2,1.5,7,7,0.286,0.229,14,7,14,9,1,0.8,3,13,16,9,1,0,4,2,32,27.6,+3,7.00
Jokic,12,12,11/17/2023,28-271,DEN,@,NOP,L (-5),1,36:10,10,10.5,20,24.5,0.5,0.424,1,2,8,6.5,0.125,0.3095,5,11,5,11,1,1,2,14,16,18,1,1,4,2,26,31.1,+5,6.00
Jokic,13,13,11/19/2023,28-273,DEN,@,CLE,L (-12),1,27:49,8,9,13,21.5,0.615,0.424,0,1.5,0,7.5,0,0.2055,2,9.5,5,9.5,0.4,1,1,9,10,7,1,1,3,5,18,15.9,-16,4.00
Jokic,14,14,11/20/2023,28-274,DEN,@,DET,W (+4),1,15:13,4,9,8,16.5,0.5,0.5575,1,0.5,4,4,0.25,0.0625,0,3.5,0,5,0,0.7,0,5,5,5,0,1,1,1,9,9.3,-4,2.00
Jokic,15,15,11/22/2023,28-276,DEN,@,ORL,L (-5),1,36:20,12,6,18,10.5,0.667,0.5575,1,0.5,2,2,0.5,0.125,5,1,5,2.5,1,0.2,5,8,13,12,3,2,1,4,30,38.3,+4,6.00
Jokic,16,16,11/24/2023,28-278,DEN,@,HOU,L (-19),1,42:09,14,8,31,13,0.452,0.5835,3,1,8,3,0.375,0.375,7,2.5,11,2.5,0.636,0.5,6,13,19,8,3,0,3,3,38,32.8,-12,8.00
Jokic,17,17,11/26/2023,28-280,DEN,,SAS,W (+12),1,34:12,17,13,29,24.5,0.586,0.5595,0,2,0,5,0,0.4375,5,6,5,8,1,0.818,5,6,11,9,1,0,5,3,39,31.9,+14,8.00
Jokic,19,18,11/29/2023,28-283,DEN,,HOU,W (+10),1,33:21,12,15.5,19,30,0.632,0.519,1,1.5,2,4,0.5,0.1875,7,6,8,8,0.875,0.818,6,4,10,15,1,0,0,2,32,39.2,+29,7.00
Jokic,20,19,12/1/2023,28-285,DEN,@,PHO,W (+8),1,34:55,9,14.5,18,24,0.5,0.609,0,0.5,3,1,0,0.25,3,6,6,6.5,0.5,0.9375,1,4,5,16,1,2,3,4,21,21.7,+6,5.00
Jokic,21,20,12/2/2023,28-286,DEN,@,SAC,L (-6),1,38:10,13,10.5,23,18.5,0.565,0.566,1,0.5,4,2.5,0.25,0.25,9,5,12,7,0.75,0.6875,2,11,13,14,2,1,0,3,36,39.9,+11,8.00
Jokic,22,21,12/6/2023,28-290,DEN,@,LAC,L (-9),1,37:07,9,11,32,20.5,0.281,0.5325,2,0.5,7,3.5,0.286,0.125,2,6,2,9,1,0.625,5,10,15,10,1,0,4,2,22,12.9,+1,5.00
Jokic,23,22,12/8/2023,28-292,DEN,,HOU,L (-8),1,34:22,9,11,26,27.5,0.346,0.423,1,1.5,2,5.5,0.5,0.268,4,5.5,7,7,0.571,0.875,7,9,16,5,0,2,3,5,23,14.7,+3,5.00
Jokic,24,23,12/11/2023,28-295,DEN,@,ATL,W (+7),1,36:01,9,9,13,29,0.692,0.3135,1,1.5,1,4.5,1,0.393,6,3,7,4.5,0.857,0.7855,2,6,8,9,3,2,1,3,25,30.8,+8,5.00
Jokic,25,24,12/12/2023,28-296,DEN,@,CHI,W (+8),1,16:24,2,9,5,19.5,0.4,0.519,0,1,0,1.5,0,0.75,0,5,0,7,0,0.714,3,6,9,6,0,0,0,1,4,9.0,+5,1.00
Jokic,26,25,12/14/2023,28-298,DEN,,BRK,W (+23),1,29:49,8,5.5,12,9,0.667,0.546,0,0.5,2,0.5,0,0.5,10,3,12,3.5,0.833,0.4285,1,13,14,10,1,0,1,2,26,30.8,+21,6.00
Jokic,27,26,12/16/2023,28-300,DEN,,OKC,L (-1),1,37:25,8,5,15,8.5,0.533,0.5335,1,0,2,1,0.5,0,7,5,8,6,0.875,0.4165,4,2,6,12,2,0,3,3,24,25.9,-9,5.00
Jokic,28,27,12/18/2023,28-302,DEN,,DAL,W (+26),1,27:50,3,8,8,13.5,0.375,0.6,0,0.5,1,2,0,0.25,2,8.5,2,10,1,0.854,1,8,9,7,2,0,2,2,8,10.8,+16,2.00
Jokic,29,28,12/20/2023,28-304,DEN,@,TOR,W (+9),1,38:06,13,5.5,23,11.5,0.565,0.454,3,0.5,5,1.5,0.6,0.25,2,4.5,3,5,0.667,0.9375,5,10,15,6,0,2,2,2,31,29.0,+15,7.00
Jokic,30,29,12/22/2023,28-306,DEN,@,BRK,W (+5),1,34:09,12,8,17,15.5,0.706,0.47,2,1.5,2,3,1,0.3,5,2,5,2.5,1,0.8335,2,9,11,7,3,2,0,4,31,35.7,+29,7.00
Jokic,31,30,12/23/2023,28-307,DEN,@,CHO,W (+7),1,35:38,8,12.5,14,20,0.571,0.6355,0,2.5,2,3.5,0,0.8,2,3.5,2,4,1,0.8335,2,8,10,9,1,1,3,6,18,17.8,+12,4.00
Jokic,32,31,12/25/2023,28-309,DEN,,GSW,W (+6),1,39:03,4,10,12,15.5,0.333,0.6385,0,1,2,2,0,0.5,18,3.5,18,3.5,1,1,4,10,14,8,0,0,3,2,26,26.8,+21,6.00
Jokic,33,32,12/28/2023,28-312,DEN,,MEM,W (+37),1,29:58,11,6,11,13,1,0.452,1,0,1,2,1,0,3,10,3,10,1,1,0,14,14,10,0,2,3,1,26,31.9,+25,6.00
Jokic,34,33,12/29/2023,28-313,DEN,,OKC,L (-26),1,31:32,9,7.5,10,11.5,0.9,0.6665,1,0.5,1,1.5,1,0.5,0,10.5,0,10.5,0,1,2,8,10,7,1,1,7,2,19,18.2,-19,4.00
Jokic,35,34,1/1/2024,28-316,DEN,,CHO,W (+18),1,27:30,6,10,7,10.5,0.857,0.95,0,1,0,1,0,1,1,1.5,1,1.5,1,0.5,0,11,11,6,1,1,3,2,13,15.9,+27,3.00
Jokic,36,35,1/4/2024,28-319,DEN,@,GSW,W (+3),1,38:25,13,7.5,16,8.5,0.813,0.8785,2,0.5,2,0.5,1,0.5,6,0.5,7,0.5,0.857,0.5,2,7,9,10,2,1,4,2,34,36.0,+4,7.00
Jokic,37,36,1/5/2024,28-320,DEN,,ORL,L (-2),1,36:51,13,9.5,19,11.5,0.684,0.835,0,1,1,1,0,0.5,3,3.5,4,4,0.75,0.9285,0,4,4,8,3,0,2,3,29,27.1,-4,6.00
Jokic,38,37,1/7/2024,28-322,DEN,,DET,W (+17),1,24:37,2,13,3,17.5,0.667,0.7485,0,1,0,1.5,0,0.5,0,4.5,0,5.5,0,0.8035,0,7,7,16,0,5,2,4,4,15.9,+16,1.00
Jokic,39,38,1/10/2024,28-325,DEN,@,UTA,L (-13),1,30:28,8,7.5,9,11,0.889,0.6755,1,0,1,0.5,1,0,10,1.5,12,2,0.833,0.375,1,10,11,6,1,0,6,3,27,24.8,-21,6.00
Jokic,40,39,1/12/2024,28-327,DEN,,NOP,W (+12),1,32:11,11,5,17,6,0.647,0.778,1,0.5,2,0.5,0.5,0.5,4,5,4,6,1,0.4165,3,7,10,14,0,1,2,4,27,30.6,+12,6.00
Jokic,41,40,1/14/2024,28-329,DEN,,IND,W (+8),1,33:05,12,9.5,13,13,0.923,0.768,0,1,0,1.5,0,0.75,1,7,2,8,0.5,0.9165,3,9,12,9,2,1,7,3,25,25.9,+10,5.00
Jokic,42,41,1/16/2024,28-331,DEN,@,PHI,L (-5),1,38:00,11,11.5,20,15,0.55,0.785,0,0.5,2,1,0,0.25,3,2.5,4,3,0.75,0.75,11,8,19,3,1,1,4,3,25,23.7,+1,5.00
Jokic,43,42,1/19/2024,28-334,DEN,@,BOS,W (+2),1,38:16,14,11.5,22,16.5,0.636,0.7365,2,0,4,1,0.5,0,4,2,4,3,1,0.625,2,10,12,9,0,0,4,1,34,30.5,+1,7.00
Jokic,44,43,1/21/2024,28-336,DEN,@,WAS,W (+9),1,36:05,15,12.5,20,21,0.75,0.593,0,1,0,3,0,0.25,12,3.5,14,4,0.857,0.875,4,8,12,8,2,2,0,2,42,46.6,+20,9.00
Jokic,45,44,1/23/2024,28-338,DEN,@,IND,W (+5),1,37:01,13,14.5,19,21,0.684,0.693,3,1,4,2,0.75,0.25,2,8,2,9,1,0.9285,2,11,13,10,0,1,1,3,31,33.1,+9,7.00
Jokic,46,45,1/25/2024,28-340,DEN,@,NYK,L (-38),1,27:29,13,14,18,19.5,0.722,0.717,2,1.5,3,2,0.667,0.375,3,7,3,8,1,0.9285,4,7,11,3,0,0,7,1,31,23.2,-23,7.00
Jokic,47,46,1/27/2024,28-342,DEN,,PHI,W (+6),1,36:40,8,13,16,18.5,0.5,0.703,0,2.5,1,3.5,0,0.7085,10,2.5,16,2.5,0.625,1,5,11,16,7,2,0,3,3,26,25.1,+2,6.00
Jokic,48,47,1/29/2024,28-344,DEN,,MIL,W (+6),1,39:31,10,10.5,25,17,0.4,0.611,1,1,6,2,0.167,0.3335,4,6.5,5,9.5,0.8,0.8125,1,15,16,12,3,2,3,1,25,25.7,+9,5.00
Jokic,50,48,2/2/2024,28-348,DEN,,POR,W (+12),1,38:16,11,9,16,20.5,0.688,0.45,1,0.5,1,3.5,1,0.0835,4,7,4,10.5,1,0.7125,7,15,22,12,1,2,4,3,27,35.2,+20,6.00
Jokic,51,49,2/4/2024,28-350,DEN,,POR,W (+9),1,34:14,12,10.5,20,20.5,0.6,0.544,1,1,3,3.5,0.333,0.5835,4,4,5,4.5,0.8,0.9,1,7,8,7,2,0,2,1,29,26.7,-5,6.00
Jokic,52,50,2/8/2024,28-354,DEN,@,LAL,W (+8),1,36:23,9,11.5,20,18,0.45,0.644,2,1,6,2,0.333,0.6665,4,4,4,4.5,1,0.9,3,10,13,9,0,3,6,2,24,20.3,+10,5.00
Jokic,53,51,2/9/2024,28-355,DEN,@,SAC,L (-29),1,29:45,9,10.5,17,20,0.529,0.525,1,1.5,1,4.5,1,0.333,4,4,5,4.5,0.8,0.9,2,6,8,7,3,0,1,2,23,23.6,-7,5.00
Jokic,54,52,2/12/2024,28-358,DEN,@,MIL,L (-17),1,31:31,13,9,25,18.5,0.52,0.4895,2,1.5,5,3.5,0.4,0.6665,1,4,3,4.5,0.333,0.9,3,9,12,8,0,0,5,1,29,20.9,-16,6.00
Jokic,55,53,2/14/2024,28-360,DEN,,SAC,L (-4),1,38:58,6,11,17,21,0.353,0.5245,0,1.5,6,3,0,0.7,3,2.5,4,4,0.75,0.5665,0,5,5,8,0,1,0,4,15,11.3,-4,3.00
Jokic,56,54,2/22/2024,29-003,DEN,,WAS,W (+20),1,31:23,10,9.5,10,21,1,0.4365,0,1,0,5.5,0,0.2,1,2,2,3.5,0.5,0.5415,2,17,19,15,1,0,3,3,21,31.4,+23,5.00
Jokic,57,55,2/23/2024,29-004,DEN,@,POR,W (+15),1,34:46,12,8,17,13.5,0.706,0.6765,1,0,3,3,0.333,0,4,2,5,3,0.8,0.625,3,12,15,14,2,1,2,4,29,36.1,+24,6.00
Jokic,58,56,2/25/2024,29-006,DEN,@,GSW,W (+16),1,36:49,13,11,24,13.5,0.542,0.853,2,0.5,6,1.5,0.333,0.1665,4,2.5,4,3.5,1,0.65,2,14,16,16,4,1,2,3,32,38.7,+20,7.00
Jokic,59,57,2/28/2024,29-009,DEN,,SAC,W (+21),1,32:19,5,12.5,9,20.5,0.556,0.624,0,1.5,0,4.5,0,0.333,4,4,4,4.5,1,0.9,1,13,14,11,3,1,2,3,14,22.5,+37,3.00
Jokic,60,58,2/29/2024,29-010,DEN,,MIA,W (+6),1,38:00,6,9,15,16.5,0.4,0.549,0,1,3,3,0,0.1665,6,4,6,4,1,1,2,9,11,7,1,2,4,4,18,15.7,+12,4.00
Jokic,61,59,3/2/2024,29-012,DEN,@,LAL,W (+10),1,38:56,16,5.5,25,12,0.64,0.478,1,0,5,1.5,0.2,0,2,5,2,5,1,1,2,8,10,7,0,1,3,1,35,29.9,+16,7.00
Jokic,62,60,3/5/2024,29-015,DEN,,PHO,L (-10),1,44:16,8,11,18,20,0.444,0.52,4,0.5,7,4,0.571,0.1,5,4,7,4,0.714,1,3,13,16,5,0,0,7,2,25,16.5,-13,5.00
Jokic,63,61,3/7/2024,29-017,DEN,,BOS,W (+6),1,38:45,11,12,19,21.5,0.579,0.542,0,2.5,0,6,0,0.3855,10,3.5,10,4.5,1,0.857,4,8,12,11,2,0,0,1,32,37.6,+9,7.00
Jokic,64,62,3/9/2024,29-019,DEN,,UTA,W (+21),1,32:00,12,9.5,14,18.5,0.857,0.5115,0,2,0,3.5,0,0.2855,2,7.5,2,8.5,1,0.857,2,4,6,8,1,2,3,1,26,28.2,+6,6.00
Jokic,65,63,3/11/2024,29-021,DEN,,TOR,W (+6),1,38:06,14,11.5,26,16.5,0.538,0.718,1,0,3,0,0.333,0,6,6,6,6,1,1,6,11,17,12,6,2,2,3,35,42.5,+13,7.00
Jokic,66,64,3/13/2024,29-023,DEN,@,MIA,W (+12),1,37:37,5,13,8,20,0.625,0.6975,0,0.5,0,1.5,0,0.1665,2,4,3,4,0.667,1,3,11,14,6,1,0,4,1,12,14.2,+10,3.00
Jokic,67,65,3/15/2024,29-025,DEN,@,SAS,W (+11),1,30:54,13,9.5,19,17,0.684,0.5815,1,0.5,3,1.5,0.333,0.1665,4,4,4,4.5,1,0.8335,1,6,7,5,0,2,3,1,31,26.9,+7,7.00
Jokic,68,66,3/17/2024,29-027,DEN,@,DAL,L (-2),1,38:31,6,9,16,13.5,0.375,0.6545,0,0.5,2,1.5,0,0.1665,4,3,5,3.5,0.8,0.8335,3,8,11,7,2,0,3,1,16,14.8,+10,4.00
Jokic,69,67,3/19/2024,29-029,DEN,@,MIN,W (+3),1,37:40,14,9.5,22,17.5,0.636,0.5295,3,0.5,4,2.5,0.75,0.1665,4,4,6,4.5,0.667,0.9,1,15,16,2,0,0,3,3,35,26.8,+8,7.00
Jokic,70,68,3/21/2024,29-031,DEN,,NYK,W (+13),1,39:14,12,10,23,19,0.522,0.5055,0,1.5,1,3,0,0.375,6,4,7,5.5,0.857,0.7335,2,12,14,11,1,0,1,1,30,30.6,+30,6.00
Maxey,1,1,10/26/2023,22-356,PHI,@,MIL,L (-1),1,40:13,10,,22,,0.455,,3,,8,,0.375,,8,,10,,0.8,,0,4,4,8,2,0,0,3,31,26.4,0,7.00
Maxey,2,2,10/28/2023,22-358,PHI,@,TOR,W (+7),1,40:34,12,,20,,0.6,,7,,9,,0.778,,3,,3,,1,,1,5,6,7,0,1,1,1,34,31.2,+10,7.00
Maxey,3,3,10/29/2023,22-359,PHI,,POR,W (+28),1,34:43,6,11,14,21,0.429,0.5275,4,5,8,8.5,0.5,0.5765,10,5.5,10,6.5,1,0.9,1,9,10,4,0,0,2,1,26,22.4,+19,6.00
Maxey,4,4,11/2/2023,22-363,PHI,,TOR,W (+15),1,40:01,7,9,16,17,0.438,0.5145,0,5.5,3,8.5,0,0.639,4,6.5,4,6.5,1,1,0,1,1,4,2,0,1,1,18,13.3,+6,4.00
Maxey,5,5,11/4/2023,23-000,PHI,,PHO,W (+12),1,36:12,9,6.5,18,15,0.5,0.4335,2,2,6,5.5,0.333,0.25,2,7,2,7,1,1,2,3,5,10,0,1,3,0,22,20.0,+25,5.00
Maxey,6,6,11/6/2023,23-002,PHI,,WAS,W (+18),1,31:43,9,8,16,17,0.563,0.469,3,1,9,4.5,0.333,0.1665,1,3,1,3,1,1,0,1,1,11,1,1,0,2,22,23.3,+9,5.00
Maxey,7,7,11/8/2023,23-004,PHI,,BOS,W (+3),1,39:05,11,9,27,17,0.407,0.5315,3,2.5,11,7.5,0.273,0.333,0,1.5,1,1.5,0,1,1,8,9,5,1,2,1,4,25,16.5,-3,5.00
